paths,coordinates,class
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"2116,1196",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4236,2396",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1276,1516",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1876,736",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"396,2196",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1866,3476",0.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2276,1376",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"2136,1416",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2356,756",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07_b.tif,"1576,1056",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1916,1036",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2116,1676",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"2156,1476",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2796,1256",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19_b.tif,"1856,936",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1406,1636",0.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4276,1996",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"2756,1116",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"2196,296",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1076,1436",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3996,2656",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"716,2596",1.0
C:/Users/william/Desktop/data_/train\images\20200319.tif,"1236,876",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1256,1376",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1956,1556",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"1376,1936",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2176,1316",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2056,936",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1016,1416",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1276,2676",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1536,2476",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1636,1616",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1536,1376",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1736,696",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"956,1556",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1816,1776",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"616,2636",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"876,2056",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"876,2896",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"2016,3776",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1956,1776",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1536,1556",1.0
C:/Users/william/Desktop/data_/train\images\20200319.tif,"1376,696",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"356,2336",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1656,1336",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"2116,996",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1276,3016",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1436,1416",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07_b.tif,"1976,1036",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1836,1576",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"2816,916",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3996,1676",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1816,1296",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19_b.tif,"1776,1176",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1276,2276",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3236,3756",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1176,1596",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"3706,486",0.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"1676,1736",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"616,2036",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"776,1736",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"616,1756",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"856,2496",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3156,3456",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"276,1756",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1276,2596",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3016,3876",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"2786,1636",0.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1076,1636",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"896,2436",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"1836,656",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"2096,4856",0.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"296,2596",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1256,1476",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"2556,4166",0.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1756,1676",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3936,1656",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2096,1196",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2416,796",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"3076,956",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2116,956",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"256,256",0.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"2556,1866",0.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1176,3436",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1636,1496",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1696,796",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1256,3556",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2356,1396",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1996,796",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1636,3246",0.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2176,1256",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"2916,3636",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1596,636",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1096,3616",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2156,1476",1.0
C:/Users/william/Desktop/data_/train\images\20200822.tif,"1556,976",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2456,1456",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"2676,3856",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1256,1376",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"936,1596",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1976,1156",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19_b.tif,"1976,1676",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3276,3436",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"486,3936",0.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1336,2696",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"636,3596",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1916,1496",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1756,656",1.0
C:/Users/william/Desktop/data_/train\images\20200822.tif,"1676,836",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"3246,1866",0.0
C:/Users/william/Desktop/data_/train\images\2018_12_07_b.tif,"1676,976",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1396,816",1.0
C:/Users/william/Desktop/data_/train\images\20200319.tif,"1376,476",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4236,1796",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4296,1676",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1296,2436",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"2536,1176",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1176,3316",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07_b.tif,"1996,1276",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1856,656",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"2916,3936",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2256,1816",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1336,2616",1.0
C:/Users/william/Desktop/data_/train\images\20200822.tif,"1776,536",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1756,1176",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3976,1836",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2996,876",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1756,1496",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1236,1996",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"2076,1136",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1396,1356",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1096,1736",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"3036,1076",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1456,2156",1.0
C:/Users/william/Desktop/data_/train\images\20200319.tif,"1276,1216",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1156,1596",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2976,856",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"1636,1406",0.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1516,3516",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"486,716",0.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"946,1176",0.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"676,2076",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1196,1716",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4416,1116",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1736,3576",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"946,4626",0.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1836,916",1.0
C:/Users/william/Desktop/data_/train\images\20200331.tif,"1866,1636",0.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1276,3636",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"2096,3896",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19_b.tif,"256,1176",0.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"956,1396",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4156,1956",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1816,1496",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2316,1716",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2556,1236",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2416,1536",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1756,1016",1.0
